Title,Author,Description,Image URL,Genre
The 272,By Rachel L. Swarns,"Seven years ago, journalist, author, and professor Rachel L. Swarns started a national conversation with her writing by exposing Georgetown University’s ties to slavery. In 1838, 272 enslaved people were sold by a group of American priests to save the country’s first Roman Catholic institution of higher learning—what is now Georgetown University—from financial ruin. But this decision would do more than save the college. “Without the enslaved, the Catholic Church in the United States as we know it today would not exist,” Swarns argues in The 272, her doggedly researched account of that shameful event. Swarns’ third book illustrates how the Church benefited from slave labor by following the Mahoneys, one of the enslaved families who suffered as a result of those sins. She begins with their matriarch, Ann Joice, who sailed to Maryland in the late 1600s as a free woman only to be enslaved by the Jesuit priests. The author then shows how that miscarriage of justice led to Joice’s descendents being put up for sale a century and a half later. The 272 is an unflinching condemnation of the Catholic Church’s past and a long overdue eulogy for those who are long gone but should never be forgotten. —Shannon Carlin Buy Now: The 272 on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/The272.jpg?quality=85&w=800,History
A Day in the Life of Abed Salama,by Nathan Thrall,"For most of the century that Palestinians and Israelis have fought over the same land, the conflict has not been nearly as visible as the 2023 war in the Gaza Strip, or the murder of Israeli civilians by Hamas that it answered. Since 1967, when Israel won military control of every disputed acre, the conflict has typically ground along at the level of everyday existence. That’s somehow easier to imagine for the 2 million Palestinians isolated in the fenced enclave of Gaza. But another 3 million Palestinians reside on the West Bank, where Israeli troops enforce an “administrative” control that’s intended to avoid drama. It was there, in 2012, that a fiery school bus accident killed kindergarteners on the outskirts of Jerusalem. In A Day in the Life of Abed Salama, Nathan Thrall not only recounts a father’s frantic search for his 5-year-old son after the crash; his deeply reported book also places the reader in the realm Palestinians navigate every day, a lesser world in which life and death may be decided by others. —Karl Vick Buy Now: A Day in the Life of Abed Salama on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/ADayInTheLifeOfAbed.jpg?quality=85&w=800,Biography
A Living Remedy,by Nicole Chung,"In her poem “For Three Days,” Marie Howe writes that “even grief provides a living remedy,” that mourning can be a way to keep those we love alive. Nicole Chung took those words to heart when writing the follow-up to her poignant 2018 debut memoir, All You Can Ever Know, which detailed her experience as a Korean American adoptee of a white family. A Living Remedy is an elegy for her adopted parents, who died within two years of one another. First, Chung lost her father in early 2018, before the release of her first book, to late-stage kidney failure made worse by the diabetes he was unable to properly treat due to financial reasons. (“It is still hard for me not to think of my father’s death as a kind of negligent homicide,” Chung writes, “facilitated and sped by the state’s failure to fulfill its most basic responsibilities to him and others like him.”) Then, in the early days of the COVID-19 pandemic, while writing this book, she lost her mother to cancer. In lyrical prose, Chung, a TIME contributor, describes what it was like before her mother’s death, and the distance, both physical and emotional, that developed between them. In the end, her latest book is a brutally intimate portrait of the guilt and grief that comes with losing a parent. It’s also a searing indictment of a broken health care system from someone who saw firsthand how it exploits patients and their families. —Shannon Carlin Buy Now: A Living Remedy on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/ALivingRemedy.jpg?quality=85&w=800,Biography
Above Ground,By Clint Smith,"The award-winning poet and journalist Clint Smith tackles the joys and tribulations of parenthood in his latest poetry collection, Above Ground. Written over the course of six years in which he welcomed two children, Smith’s collection attempts to view the world with the same wide-eyed wonder that his son and daughter do. It’s hard not to be tickled by his descriptions of his kids picking a flower for the first time, watching a ladybug fly across the room, or throwing a spontaneous dance party in the kitchen. But Smith knows that parenting is not always answering questions about jellyfish and giraffes, two animals that inspire some of the sweetest and most enlightening poems in the book. With wisdom and empathy, he tries to unpack the ways in which the world can be cruel and unforgiving, especially toward Black people. In “National Anthem,” a woman’s furious reaction to Colin Kaepernick kneeling becomes a sobering reminder of the prejudice his little boy will face as he gets older. In the anthology’s titular poem, Smith spots the golden exoskeleton of a cicada, which emerges from the ground after 17 years, and he wonders if climate change will keep them from returning in another 17. Yet, like so many poems in this moving follow up to his 2021 nonfiction book How the Word Is Passed, Smith finds faith in the unknowable and hope in a world that is ever changing. —Shannon Carlin Buy Now: Above Ground on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/AboveGround.jpg?quality=85&w=2400,History
Absolution,By Alice McDermott,"With her ninth novel, National Book Award winner Alice McDermott attempts to understand the role that the wives of American soldiers played in the Vietnam War. The book begins in 1963 Saigon, with Tricia, a shy newlywed, whose lawyer husband is working for Navy intelligence as a “civilian advisor.” She soon finds herself forming an unlikely alliance with Charlene, a seasoned military wife and mother of three, who shows her how to support her husband without being subservient. Tricia struggles to find her own purpose until she and Charlene begin “helping” the people of Vietnam. It’s not until 60 years later, when Tricia is contacted by someone from her past, that she begins to question her own culpability in the conflict. Absolution is a moving story about the obligation, sacrifice, and regret that comes with living on the periphery of history. —Shannon Carlin Buy Now: Absolution on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/Absolution.jpg?quality=85&w=800,History
After Sappho,by Selby Wynn Schwartz,"An experiment in form, After Sappho is told in the collective voice and uses the pronoun “we” to knit together biographical anecdotes from the lives of many historical women, including Virginia Woolf, Gertrude Stein, and Italian writer Lina Poletti. The book takes a cue from the ancient Greek poet Sappho’s own writing, largely left to us in fragmented form, and its themes of desire and belonging. In one moment, a glass mirror shatters and yet “we” can still admire ourselves in the fragments. Though heavily researched, the work blends fiction and nonfiction into a chatty whole. The cumulative effect is a loose history of feminist fire-starters and lesbian icons coming into their own in the modern era. —Eliana Dockterman Buy Now: After Sappho on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/AfterSappho.jpg?quality=85&w=800,History
After the Funeral,by Tessa Hadley,"Tessa Hadley’s short story collection After the Funeral and Other Stories is about those moments of happenstance that change the trajectory of a life. Across 12 stories, the best-selling British author writes shrewd but compassionate profiles of characters, mostly women, who are at odds with their families, their partners, and even themselves. It’s through coincidence—a literal run-in with an ex-husband, a missed connection with an estranged sister, an unexpected dinner guest—that these unassuming characters are given a chance to reflect on who they have become and who they’d like to be. In “Funny Little Snake,” 24-year-old Valerie finds herself caring for her older husband’s 9-year-old daughter. After forming an unlikely bond with the child, who has long been neglected by her parents, Valerie makes a questionable decision that she hopes will put them both on exciting new paths. Like much of Hadley’s sharp-witted collection, this tale ends ambiguously. Just as it appears our protagonist is on the brink of a breakthrough, we are left to wonder if people really can change. —Shannon Carlin Buy Now: After the Funeral on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/AfterTheFuneral.jpg?quality=85&w=800,Biography
All Souls,By Saskia Hamilton,"Saskia Hamilton’s latest poetry collection, All Souls, was written before her death from cancer earlier this year at the age of 56. Broken into four lyrical sequences, her final anthology is a meditation on death and dying that reflects on the totality of her life. In the sharply written opening poem, “Faring,” she plays with that word’s double meaning—to travel and to proceed—as if daring readers to continue with her on this existential journey to reclaim the memories of her past before it is too late. Chronology is not important to Hamilton when telling her story. Instead, she tracks her time on earth through free association. In “Museum Going,” she recalls a childhood trip to a museum in Holland, where her mom grew up, which leads her to think about her family’s ties to World War II. In the titular poem, she wonders if her young son’s obsession with video games that recreate the horrors of war will help him cope when she is gone. She has found her own coping mechanism in language. By writing all this down, she is able to accept the inevitability of time. All Souls is a devastating reminder of one’s own mortality, written by a writer who has gone too soon. —Shannon Carlin Buy Now: All Souls on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/AllSouls.jpg?quality=85&w=800,Biography
All the Sinners Bleed,by S.A. Cosby,"The fourth novel by acclaimed crime writer S.A. Cosby opens with a pair of all-too-familiar tragedies: a school shooting and the subsequent death of a young Black man at the hands of local cops. But from there, this Southern gothic thriller heads in an entirely unexpected direction, as the initial burst of violence gives way to an investigation into a masked cabal caught on video torturing and killing Black teenagers. It’s a grim premise, but Cosby filters it through the humanizing perspective of the first Black sheriff in the small Virginia town where the murders take place—a brave, smart, and tenacious hero with regrets in his past, a big question mark in his future, and a burning need for redemption in the present. All the Sinners Bleed is the rare detective story that’s well aware of how racist policing muddies the morality of cop protagonists, and is a book that will leave you breathlessly turning pages until its final showdown. —Judy Berman Buy Now: All the Sinners Bleed on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/AllTheSinnersBleed.jpg?quality=85&w=800,History
Anansi's Gold,by Yepoka Yeebo,"Journalist Yepoka Yeebo’s Anansi’s Gold: The Man Who Looted the West, Outfoxed Washington, and Swindled the World tells the story of how audacious Ghanaian con man John Ackah Blay-Miezah pulled off one of the longest-running scams of the 20th century. In the 1970s and ’80s, Blay-Miezah managed to swindle politicians, high-class businessmen, and heads of state with a scam predicated on a tall tale. In 1972, on his deathbed, Ghana’s first President, Kwame Nkrumah, revealed that he had millions of dollars stowed away in Swiss bank vaults. Blay-Miezah sold himself as a close confidante of the late leader and, over the span of 15 years, conned at least 300 people into investing millions into his efforts to secure the fake funds. In return, he promised they’d be handsomely rewarded. Through meticulous and shrewd reporting, Yeebo breaks down the many reasons why Blay-Miezah’s claims were too enticing for even the most sophisticated marks to ignore. For one, with his tailored suits and Rolls Royce, he looked the part of a wealthy benefactor who could hobnob with the elite. Yeebo describes in great detail the lengths to which the con man went to keep his high-yield racket going in a pre-internet world. But the author also points out another more sinister reason for Blay-Miezah’s success: the wealthiest were more than willing to pilfer from a recently decolonized Africa with very few questions asked. Anansi’s Gold is an enthralling rags-to-stolen-riches story, a thrilling true-crime caper, and a sharp indictment of a world that allows scammers like Blay-Miezah to thrive. —Shannon Carlin Buy Now: Anansi’s Gold on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/AnansisGold.jpg?quality=85&w=800,History
August Blue,by Deborah Levy,"At the center of Booker Prize finalist Deborah Levy’s cutting novel is Elsa M. Anderson, a 30-something British virtuoso whose piano performance in Vienna comes to a surprising halt when she walks off the stage and into chaos of her own creation. Elsa becomes fixated on a stranger who looks exactly like her—and she starts seeing the mysterious woman all over Europe. In detailing her protagonist’s journey, Levy crafts a surreal and moving narrative about identity and art. Don’t let the melancholy tone of the story fool you—at its core, August Blue is a revealing look at the power of self-discovery. —Annabel Gutterman Buy Now: August Blue on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/AugustBlue.jpg?quality=85&w=800,Fiction
